X,Y,Name,descriptio,timestamp,begin,end,altitudeMo,tessellate,extrude,visibility,drawOrder,icon,fid,NOMBRE,ESTADO,TRAZA,X,Y,Observacio,Concat,FECHA DE A,Nuevo,icon_url
-58.7788078074329,-27.4700648519466,,,,,,,"-1","0","-1",,,1.000000000000000,CORRIENTES ESTE,EN FUNCIONAMIENTO,CIERRE NORTE,-58.778807807432898,-27.470064851946599,ODF AGRARIAS: 1-2 ERAGIA 3-4 CTPRO 5-6 CPROFO,"-27.47006485194663,-58.77880780743295",,,./0.png
-58.5663143378818,-27.3225674053532,,,,,,,"-1","0","-1",,,2.000000000000000,PASO DE LA PATRIA,EN FUNCIONAMIENTO,CIERRE NORTE,-58.566314337881799,-27.322567405353201,,"-27.322567,-58.56631433788185",,,./0.png
-57.3365043032696,-27.4467208666299,,,,,,,"-1","0","-1",,,3.000000000000000,ITA IBATE,EN FUNCIONAMIENTO,HUMEDAL,-57.336504303269599,-27.446720866629899,,"-27.44672,-57.33650430326956",,,./0.png
-56.9023955355532,-27.6328799799065,,,,,,,"-1","0","-1",,,4.000000000000000,VILLA OLIVARI,EN FUNCIONAMIENTO,HUMEDAL,-56.902395535553197,-27.632879979906502,,"-27.632879,-56.90239553555318",,,./0.png
-56.6888065973706,-27.5894525507942,,,,,,,"-1","0","-1",,,5.000000000000000,ITUZAINGO,EN FUNCIONAMIENTO,HUMEDAL,-56.688806597370601,-27.589452550794199,,"-27.589452,-56.68880659737059",,,./0.png
-56.0218069656419,-28.053085000809,,,,,,,"-1","0","-1",,,6.000000000000000,VIRASORO,EN FUNCIONAMIENTO,URUGUAY,-56.021806965641908,-28.053085000808998,,"-28.05308500080896,-56.02180696564189",,,./0.png
-57.6224193853139,-27.7514822622401,,,,,,,"-1","0","-1",,,7.000000000000000,CAA CATI,EN FUNCIONAMIENTO,HUMEDAL,-57.622419385313897,-27.751482262240099,,"-27.751482,-57.62241938531388",,,./0.png
-57.5885390169734,-27.9963333739238,,,,,,,"-1","0","-1",,,8.000000000000000,SAN MIGUEL,EN FUNCIONAMIENTO,HUMEDAL,-57.588539016973399,-27.996333373923800,,"-27.996333,-57.58853901697345",,,./0.png
-56.0382396175435,-28.5486927970398,,,,,,,"-1","0","-1",,,9.000000000000000,SANTO TOME,EN FUNCIONAMIENTO,URUGUAY,-56.038239617543503,-28.548692797039799,,"-28.54869279703982,-56.03823961754354",,,./0.png
-56.5536783005659,-29.0994323800692,,,,,,,"-1","0","-1",,,10.000000000000000,ALVEAR,EN EJECUCION,URUGUAY,-56.553678300565899,-29.099432380069199,,"-29.09943238006923,-56.55367830056592",,,./1.png
-56.8162198519537,-29.4711362557155,,,,,,,"-1","0","-1",,,12.000000000000000,YAPEYU,EN EJECUCION,URUGUAY,-56.816219851953697,-29.471136255715500,,"-29.47113625571546,-56.81621985195369",,,./1.png
-56.9783585777013,-29.5029925868042,,,,,,,"-1","0","-1",,,13.000000000000000,TAPEBICUA,EN EJECUCION,URUGUAY,-56.978358577701307,-29.502992586804201,,"-29.5029925868042,-56.97835857770129",,,./1.png
-58.0945029996095,-29.1806163926456,,,,,,,"-1","0","-1",,,15.000000000000000,MERCEDES,EN FUNCIONAMIENTO,CENTRAL,-58.094502999609503,-29.180616392645600,,"-29.18061692634491,-58.09450380862993",,,./0.png
-59.2500277283493,-29.1616501905949,,,,,,,"-1","0","-1",,,16.000000000000000,GOYA,EN FUNCIONAMIENTO,PARANA,-59.250027728349302,-29.161650190594901,,"-29.161690290259084,-59.249964354090075",,,./0.png
-59.1007971955564,-28.9887385342371,,,,,,,"-1","0","-1",,,17.000000000000000,SANTA LUCIA,EN FUNCIONAMIENTO,PARANA,-59.100797195556403,-28.988738534237100,,"-28.98873853423711,-59.10079719555639",2024/02/01,,./0.png
-59.037186628,-28.5181402561,,,,,,,"-1","0","-1",,,18.000000000000000,BELLA VISTA,EN FUNCIONAMIENTO,PARANA,-59.037186628000001,-28.518140256100001,,"-28.507247,-59.037186628",,,./0.png
-58.764902154961,-28.1351640244217,,,,,,,"-1","0","-1",,,19.000000000000000,SAN LORENZO,EN FUNCIONAMIENTO,PARANA,-58.764902154961000,-28.135164024421702,Nodo de Arsat,"-28.13516402442169,-58.764902154961",,,./0.png
-58.3184662198842,-28.3742836596526,,,,,,,"-1","0","-1",,,21.000000000000000,TATACUA,EN FUNCIONAMIENTO,HUMEDAL,-58.318466219884201,-28.374283659652601,,"-28.374283659652622,-58.3184662198842",,,./0.png
-58.2853761715221,-28.3062765430774,,,,,,,"-1","0","-1",,,22.000000000000000,TABAY,EN FUNCIONAMIENTO,HUMEDAL,-58.285376171522103,-28.306276543077399,,"-28.30646875396494,-58.28537617152209",,,./0.png
-58.1230258132561,-28.2677035933719,,,,,,,"-1","0","-1",,,23.000000000000000,SANTA ROSA,EN FUNCIONAMIENTO,HUMEDAL,-58.123025813256099,-28.267703593371898,Equipo SWICTH HUAWEI,"-28.267753333333335,-58.123033333333325",,,./0.png
-58.2316492198842,-28.040647,,,,,,,"-1","0","-1",,,24.000000000000000,MBURUCUYA,EN FUNCIONAMIENTO,HUMEDAL,-58.231649219884197,-28.040647000000000,,"-28.04079657985377,-58.23175106534103",,,./0.png
-57.8865894751447,-28.3918232695947,,,,,,,"-1","0","-1",,,25.000000000000000,CONCEPCION,EN FUNCIONAMIENTO,HUMEDAL,-57.886589475144703,-28.391823269594699,,"-28.391829149421106,-57.88619936015822",,,./0.png
-58.1916946666133,-29.377598548499,,,,,,,"-1","0","-1",,,26.000000000000000,MARIANO I. LOZA,EN EJECUCION,GASODUCTO,-58.191694666613301,-29.377598548499002,,"-29.377598548499,-58.191694666613316",,,./1.png
-58.0494729833903,-29.7895798442121,,,,,,,"-1","0","-1",,,27.000000000000000,CURUZU CUATIA,EN EJECUCION,GASODUCTO,-58.049472983390302,-29.789579844212099,,"-29.789579844212117,-58.04947298339027",,,./1.png
-57.8198946969329,-30.0428722426135,,,,,,,"-1","0","-1",,,28.000000000000000,COLONIA LIBERTAD,EN EJECUCION,GASODUCTO,-57.819894696932899,-30.042872242613502,,"-30.042872242613488,-57.81989469693291",,,./1.png
-58.7461576734865,-27.5834999166874,,,,,,,"-1","0","-1",,,30.000000000000000,RIACHUELO,PROYECTADO,PARANA,-58.746157673486501,-27.583499916687401,,"-27.583499916687376,-58.74615767348654",,,./2.png
-58.7699112446595,-27.7030533916761,,,,,,,"-1","0","-1",,,31.000000000000000,EL SOMBRERO,PROYECTADO,PARANA,-58.769911244659497,-27.703053391676100,,"-27.703053391676075,-58.7699112446595",,,./2.png
-58.8095278525926,-27.9538794084985,,,,,,,"-1","0","-1",,,32.000000000000000,EMPEDRADO,PROYECTADO,PARANA,-58.809527852592602,-27.953879408498501,,"-27.953879408498548,-58.8095278525926",,,./2.png
-57.114497,-29.7272700843415,,,,,,,"-1","0","-1",,,34.000000000000000,PASO DE LOS LIBRES SUR,EN FUNCIONAMIENTO,CENTRAL,-57.114497000000000,-29.727270084341502,,"-29.727482544668177,-57.11442541845551",,,./0.png
-59.526448609904,-30.02663369777,,,,,,,"-1","0","-1",,,40.000000000000000,ESQUINA,PROYECTADO,PARANA,-59.526448609904001,-30.026633697769999,,"-30.02663369776999,-59.52644860990398",,,./2.png
-58.787968161816,-30.0853500831371,,,,,,,"-1","0","-1",,,41.000000000000000,SAUCE,PROYECTADO,CIERRE SUR,-58.787968161816003,-30.085350083137101,,"-30.085350083137072,-58.78796816181598",,,./2.png
-58.624611,-28.2544044066281,,,,,,,"-1","0","-1",,,51.000000000000000,SALADAS,EN FUNCIONAMIENTO,HUMEDAL,-58.624611000000002,-28.254404406628101,,"-28.254407253024564,-58.62461750604914",,,./0.png
-58.2998156159444,-29.9822764674034,,,,,,,"-1","0","-1",,,53.000000000000000,CAZADORES CORRENTINOS,PROYECTADO,CIERRE SUR,-58.299815615944397,-29.982276467403398,,"-29.982276467403405,-58.299815615944446",,,./2.png
-56.6578089095071,-29.1585507823388,,,,,,,"-1","0","-1",,,56.000000000000000,LA CRUZ,EN EJECUCION,URUGUAY,-56.657808909507096,-29.158550782338800,,"-29.158550782338803,-56.65780890950706",,,./1.png
-56.8272016060966,-29.3695212541159,,,,,,,"-1","0","-1",,,57.000000000000000,GUAVIRAVI,EN EJECUCION,URUGUAY,-56.827201606096601,-29.369521254115899,,"-29.369521254115877,-56.82720160609662",,,./1.png
